1/6/2023,14:00:47,Persona
1/6/2023,14:00:50,Prestamo
1/6/2023,14:00:59,Entrega
1/6/2023,14:01:05,Prestamo
1/6/2023,14:01:07,Persona
1/6/2023,14:01:25,Entrega
1/6/2023,14:01:38,Prestamo
1/6/2023,14:02:45,Prestamo
1/6/2023,14:03:06,Prestamo
1/6/2023,14:03:08,Persona
1/6/2023,14:05:38,Entrega
1/6/2023,14:05:39,Prestamo
1/6/2023,14:06:18,Entrega
1/6/2023,14:06:50,Persona
1/6/2023,14:07:06,Entrega
1/6/2023,14:07:16,Prestamo
1/6/2023,14:07:25,Persona
1/6/2023,14:07:25,Persona
1/6/2023,14:07:27,Prestamo
1/6/2023,14:07:28,Prestamo
1/6/2023,14:08:02,Persona
1/6/2023,14:08:10,Prestamo
1/6/2023,14:08:29,Prestamo
1/6/2023,14:08:31,Prestamo
1/6/2023,14:09:56,Entrega
1/6/2023,14:10:15,Entrega
1/6/2023,14:10:48,Entrega
1/6/2023,14:10:53,Prestamo
1/6/2023,14:11:18,Prestamo
1/6/2023,14:11:50,Prestamo
1/6/2023,14:11:57,Prestamo
1/6/2023,14:11:58,Persona
1/6/2023,14:11:58,Persona
1/6/2023,14:11:59,Persona
1/6/2023,14:12:10,Prestamo
1/6/2023,14:12:40,Prestamo
1/6/2023,14:14:57,Persona
1/6/2023,14:15:00,Prestamo
1/6/2023,14:15:26,Prestamo
1/6/2023,14:16:19,Entrega
1/6/2023,14:16:20,Persona
1/6/2023,14:16:22,Prestamo
1/6/2023,14:16:36,Prestamo
1/6/2023,14:17:01,Entrega
1/6/2023,14:17:09,Persona
1/6/2023,14:17:12,Prestamo
1/6/2023,14:17:33,Prestamo
1/6/2023,14:18:42,Persona
1/6/2023,14:18:44,Prestamo
1/6/2023,14:19:07,Prestamo
1/6/2023,14:19:24,Persona
1/6/2023,14:19:46,Entrega
1/6/2023,14:20:17,Entrega
1/6/2023,14:20:27,Entrega
1/6/2023,14:20:35,Persona
1/6/2023,14:20:37,Prestamo
1/6/2023,14:20:57,Entrega
1/6/2023,14:21:02,Prestamo
1/6/2023,14:21:18,Prestamo
1/6/2023,14:23:22,Persona
1/6/2023,14:23:28,Prestamo
1/6/2023,14:23:40,Prestamo
1/6/2023,14:23:45,Persona
1/6/2023,14:23:59,Prestamo
1/6/2023,14:24:27,Prestamo
1/6/2023,14:24:54,Entrega
1/6/2023,14:26:49,Entrega
1/6/2023,14:28:23,Persona
1/6/2023,14:28:26,Prestamo
